State,Code,Population Estimate,"Sex (Female persons, percent)",Race (White Alone),Race (Black Alone),Race (Asian Alone),Veterans,Owner-occupied housing unit rate,Median value of owner-occupied housing units,Median gross rent,Persons per household,Living in same house 1 year ago,Households with a computer,Households with a broadband internet subscription,"High school graduate or higher, percent above 25 years","Bachelors degree or higher, percent above 25 years","With a disability, percent under 25 years","Without health insurance, percent under 25 years","In civilian labour force, total, percent above 16 years","In civilian labour force, female, percent above 16 years",Total accomodation and food services sales ($1000) 2012,Total health care and social assistance revenue ($1000) 2012,Total manufacturers shipments ($1000) 2012,Mean time to travel to work (minutes),Median household income,Per capita income,"Persons in poverty, percent",Total employer establishments,Total employment,Total annual payroll ($1000),Men-owned firms,Women-owned firms,Minority-owned firms,Nonminority-owned firms,Land area in square miles,Total all classes arrests,Violent crime arrests,Property crime arrests,Murder and nonnegligent manslaughter arrests,Rape arrests,Robbery arrests,Aggravated assault arrests,Burglary arrests,Larceny- theft arrests,Motor vehicle theft arrests,Arson arrests,Other assaults arrests,Forgery and counterfeiting arrests,Fraud arrests,Embezzlement arrests,Stolen property arrests,Vandalism arrests,Weapons arrests,Prostitution arrests,Sex offenses (except rape and prostitution) arrests,Drug  abuse violations arrests,Gambling arrests,Offenses against the family and children arrests,Driving under the influence arrests,Liquor laws arrests,Drunkenness arrests,Disorderly conduct arrests,Vagrancy arrests,All other offenses (except traffic) arrests,Suspicion arrests,Curfew and loitering law violations arrests,Electoral Result,Drug abuse violations arrests
South Dakota,SD,895376,49.5,84.6,2.3,1.5,55969,68.0,174600,761,2.43,84.9,90.2,83.2,92.2,29.3,7.8,12.2,67.5,63.8,1873699,6211731,16882647,17.3,59896,31415,11.6,27108,358943,15766523,42418,23722,4101,74228,75811.00,"44,252","1,138","2,656",15,56,57,"1,010",285,"2,078",278,15,"4,801",162,777,24,179,537,279,19,48,"7,926",1.0,583,"5,522","1,581",116,"2,525",628,"14,688",0.0,62,R,"7,926"
Tennessee,TN,6975218,51.2,78.4,17.1,2.0,428519,66.5,177600,897,2.51,85.8,89.1,81.5,88.2,28.2,11.0,12.1,61.1,56.8,12499013,42383683,139960482,25.4,54833,30869,13.6,139760,2724545,129928960,302249,195694,105234,434025,41234.90,"321,922","14,335","36,938",363,461,"1,687","11,824","4,621","28,156","4,006",155,"31,568","1,970","4,907",806,"1,519","4,276","2,673",503,548,"45,206",54.0,"3,268","18,980","2,957","13,034","5,678",10,"131,990",0.0,702,R,"45,206"
Texas,TX,29527941,50.3,78.7,12.9,5.2,1435527,62.3,187200,1082,2.83,84.8,92.7,85.1,84.4,30.7,7.9,20.8,64.4,58.2,54480811,145035130,702603073,26.6,63826,32177,13.4,609476,11104054,611142429,1251696,866678,1070392,1224845,261231.71,"624,840","33,962","68,132",698,"1,988","5,539","25,737","8,256","54,410","5,038",428,"73,057","3,808","6,637",305,718,"6,787","11,076","2,999","1,501","115,658",295.0,"3,500","64,161","6,907","44,330","6,451",501,"172,833",1.0,"1,221",R,"115,658"
Utah,UT,3337975,49.6,90.6,1.5,2.7,120198,70.5,305400,1090,3.09,83.8,96.1,89.3,93.0,34.7,7.0,10.8,68.6,61.3,4789281,14521857,50046429,22.0,74197,30986,7.3,83924,1373876,67687688,132163,76269,24423,218826,82169.62,"91,685","2,619","14,165",54,340,354,"1,871",869,"12,813",398,85,"8,590",618,831,48,898,"2,906",870,185,693,"14,479",3.0,"1,617","5,082","3,240","2,945","2,353",54,"29,251",5.0,233,R,"14,479"
Vermont,VT,645570,50.6,94.2,1.4,1.9,34915,71.3,230900,999,2.28,86.7,91.3,83.0,93.5,39.7,10.4,5.6,65.3,62.7,1564272,4457996,9315494,23.3,63477,35854,9.4,20829,261196,11884937,41270,23417,2354,70491,9216.66,"15,719",863,"1,984",10,94,52,707,256,"1,640",74,14,"1,766",43,317,58,94,424,38,3,37,927,0.0,219,"2,680",57,0,941,0,"5,268",0.0,0,D,927
Virginia,VA,8642274,50.8,69.4,19.9,6.9,674242,66.7,282800,1257,2.60,85.2,92.3,86.1,90.3,39.5,8.0,9.3,64.0,60.4,17795901,47705003,96389872,28.6,76398,41255,9.2,203467,3455993,197418070,353012,236290,185043,450109,39490.09,"261,659","6,933","26,107",299,541,"1,315","4,778","2,033","22,921",996,157,"29,706","1,429","4,672","1,119",930,"3,102","4,060",513,580,"42,502",21.0,"1,393","20,402","3,983","19,289","2,802",39,"91,564",0.0,513,D,"42,502"
Washington,WA,7738692,49.9,78.5,4.4,9.6,517912,63.3,366800,1337,2.53,83.0,94.8,90.1,91.7,36.7,8.8,7.7,63.7,58.8,14297278,43966889,131530601,28.0,77006,40837,9.5,195105,2898378,191591608,262650,187677,92807,426697,66455.52,"169,836","8,144","24,058",125,542,"1,743","5,734","3,808","18,867","1,206",177,"24,675",664,"1,252",37,"2,912","4,372","1,822",328,493,"11,325",3.0,321,"27,638","1,597",91,"2,412",167,"57,514",10.0,1,D,"11,325"
West Virginia,WV,1782959,50.5,93.5,3.6,0.8,125084,73.7,123200,732,2.40,88.6,86.2,78.9,87.6,21.3,13.9,8.3,53.6,49.6,4036333,12259395,24553072,26.1,48037,27346,15.8,35795,554433,23906683,63112,39065,5777,104785,24038.21,"16,932",932,"1,896",24,46,41,821,340,"1,390",151,15,"2,343",126,191,28,179,282,196,3,32,"3,683",0.0,100,"2,382",334,187,378,15,"3,640",0.0,5,R,"3,683"
Wisconsin,WI,5895908,50.2,87.0,6.7,3.0,319280,67.1,189200,872,2.38,86.4,90.7,84.7,92.6,30.8,8.0,6.8,66.1,62.6,10303256,40680625,177728926,22.2,63293,34450,10.0,141635,2610712,130984676,236252,133859,40507,379934,54157.80,"224,571","7,637","23,823",173,844,"1,075","5,545","1,691","20,720","1,288",124,"15,813",906,"1,996",338,"1,013","5,250","3,280",357,"1,360","26,175",9.0,"1,916","23,934","9,199",0,"28,343",365,"71,555",0.0,"1,302",D,"26,175"
Wyoming,WY,578803,49.1,92.5,1.3,1.1,44403,71.0,228000,853,2.43,83.3,93.1,85.9,93.6,28.2,8.8,14.8,65.1,60.0,1644844,3291478,10783794,17.9,65304,34415,9.2,21578,207016,10422564,30039,19344,4077,55397,97093.14,"26,028",437,"1,918",7,39,23,368,231,"1,556",104,27,"2,110",29,110,1,56,468,63,19,102,"4,611",1.0,339,"3,181","1,798","2,324",807,168,"7,300",13.0,173,R,"4,611"
