country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)",Refugees and others of concern to UNHCR (in thousands),Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Seats held by women in national parliaments %,Mobile-cellular subscriptions (per 100 inhabitants),Mobile-cellular subscriptions (per 100 inhabitants).1,Individuals using the Internet (per 100 inhabitants),Threatened species (number),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)","Pop. using improved sanitation facilities (urban/rural, %)",Country,Crude suicide rates (per 100 000 population) (Both sexes)
Spain,SouthernEurope,505944.0,46354.0,92.9,96.2,1192955.0,3.2,25865.4,2.6,23.6,73.7,3.9,19.2,76.8,18.3,102.0,102.0,281777.0,302539.0,-20762.0,16208.0,-0.2,79.6,0.7,1.3,28.8,2.9,9.0,3.8,4.3,39.1,107.9,78.7,617.0,36.8,1432.0,102.0,,Spain,7.7
Sri Lanka,SouthernAsia,65610.0,20877.0,332.9,92.5,82316.0,4.8,3973.7,8.7,30.7,60.6,27.4,25.9,46.6,5.2,120.0,122.0,10546.0,19501.0,-8955.0,-2009.0,0.5,18.4,0.8,2.1,44.2,8.2,3.5,,2.2,5.8,112.8,30.0,587.0,33.1,179.0,20.0,0.53,Sri Lanka,14.0
Sudan,NorthernAfrica,,40533.0,23.0,99.9,79546.0,4.9,1977.0,32.4,20.1,47.6,32.9,20.4,46.7,13.4,,,1797.0,7658.0,-5861.0,-5933.0,2.3,33.8,2.5,4.8,3619.6,48.7,8.4,3.1,,30.5,70.5,26.6,133.0,,682.0,16.0,1.09,Sudan,3.8
Suriname,SouthAmerica,163820.0,563.0,3.6,100.7,4879.0,-2.7,8985.3,11.4,27.4,61.1,3.4,22.3,74.3,9.9,152.0,152.0,1437.0,1244.0,193.0,-808.0,1.0,66.0,0.8,2.5,0.0,17.4,5.7,,,25.5,180.7,42.8,83.0,98.3,44.0,62.0,0.32,Suriname,25.4
Sweden,NorthernEurope,438574.0,9911.0,24.2,100.2,495694.0,4.1,50687.5,1.3,26.3,72.4,1.8,18.2,79.9,7.3,100.0,100.0,139574.0,140838.0,-1263.0,23250.0,0.8,85.8,0.8,1.9,348.5,2.4,11.9,4.1,7.7,43.6,130.4,90.6,54.0,68.9,1428.0,206.0,,Sweden,14.7
Switzerland,WesternEurope,41291.0,8476.0,214.5,98.2,670790.0,0.8,80831.1,0.7,25.5,73.8,3.5,20.4,76.1,4.6,106.0,106.0,304691.0,269157.0,35534.0,77378.0,1.2,73.9,1.1,1.5,110.1,3.9,11.7,4.1,5.1,32.5,142.0,88.0,74.0,31.6,552.0,126.0,,Switzerland,14.5
Syrian Arab Republic,WesternAsia,185180.0,18270.0,99.5,102.1,28393.0,-5.3,1534.5,20.7,30.0,49.3,18.5,39.2,42.3,13.8,65.0,68.0,1265.0,2383.0,-1118.0,,-2.3,57.7,1.4,3.1,6768.5,17.9,3.3,1.5,,13.2,62.4,30.0,132.0,2.7,237.0,24.0,,Syrian Arab Republic,2.0
Tajikistan,CentralAsia,142600.0,8921.0,63.7,100.9,7853.0,4.2,925.9,25.0,28.0,47.1,57.2,13.4,29.4,10.8,155.0,172.0,899.0,3030.0,-2132.0,-472.0,2.2,26.8,2.6,3.5,21.8,38.9,6.9,1.7,5.2,19.0,98.6,19.0,45.0,3.0,76.0,14.0,4.55,Tajikistan,4.3
Thailand,South-easternAsia,513120.0,69038.0,135.1,95.2,395168.0,2.8,5814.8,9.1,35.7,55.1,34.0,22.7,43.3,0.6,129.0,126.0,213927.0,195666.0,18260.0,32149.0,0.4,50.4,3.0,1.5,554.1,11.2,4.1,,4.1,4.9,125.8,39.3,611.0,32.0,3338.0,83.0,0.02,Thailand,8.8
Timor-Leste,South-easternAsia,14919.0,1296.0,87.2,103.2,2873.0,4.3,2425.4,5.2,79.9,14.9,50.8,2.0,47.2,4.3,111.0,117.0,94.0,647.0,-553.0,238.0,2.2,32.8,3.8,5.9,0.0,43.9,1.5,0.1,7.8,38.5,117.4,13.4,24.0,46.9,143.0,7.0,8.89,Timor-Leste,3.7
