country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)",Refugees and others of concern to UNHCR (in thousands),Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Seats held by women in national parliaments %,Mobile-cellular subscriptions (per 100 inhabitants),Mobile-cellular subscriptions (per 100 inhabitants).1,Individuals using the Internet (per 100 inhabitants),Threatened species (number),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)","Pop. using improved sanitation facilities (urban/rural, %)",Country,Crude suicide rates (per 100 000 population) (Both sexes)
Benin,WesternAfrica,114763.0,11176.0,99.1,99.5,8476.0,5.2,779.1,23.2,24.9,51.9,43.2,10.2,46.6,1.0,152.0,158.0,410.0,2630.0,-2220.0,-885.0,2.8,44.0,3.7,5.2,0.8,67.7,4.6,0.1,4.4,7.2,85.6,6.8,88.0,38.7,96.0,17.0,5.09,Benin,7.8
Bhutan,SouthernAsia,38394.0,808.0,21.2,113.1,2074.0,5.2,2677.1,17.2,43.9,38.8,56.6,9.7,33.7,2.4,98.0,98.0,616.0,1688.0,-1072.0,-579.0,1.6,38.6,3.7,2.2,,30.5,3.6,0.3,7.4,8.5,87.1,39.8,71.0,72.0,75.0,82.0,5.26,Bhutan,4.6
Bolivia (Plurinational State of),SouthAmerica,1098581.0,11052.0,10.2,100.2,32998.0,4.8,3076.8,12.6,31.0,56.5,29.5,21.1,49.4,3.8,142.0,143.0,6969.0,8374.0,-1405.0,-1854.0,1.6,68.5,2.3,3.0,0.8,42.9,6.3,0.5,7.3,53.1,92.2,45.1,231.0,50.8,962.0,32.0,2.38,Bolivia (Plurinational State of),6.2
Bosnia and Herzegovina,SouthernEurope,51209.0,3507.0,68.8,96.4,16251.0,3.1,4265.0,7.3,26.5,66.2,18.0,30.4,51.7,25.4,96.0,97.0,5327.0,9130.0,-3803.0,-923.0,-1.0,39.8,0.1,1.3,157.6,7.6,9.6,1.9,,21.4,90.2,65.1,91.0,42.7,252.0,85.0,2.2,Bosnia and Herzegovina,10.9
Botswana,SouthernAfrica,582000.0,2292.0,4.0,97.7,14391.0,-0.3,6360.6,2.4,33.4,64.2,25.7,14.9,59.4,18.6,110.0,110.0,7321.0,6103.0,1218.0,1120.0,1.8,57.4,1.3,2.9,2.8,35.2,5.4,0.4,,9.5,169.0,27.5,28.0,19.3,47.0,44.0,0.46,Botswana,16.1
Brazil,SouthAmerica,8515767.0,209288.0,25.0,96.6,1772591.0,-3.8,8528.3,5.2,22.7,72.0,15.2,21.5,63.2,12.4,135.0,136.0,185235.0,137552.0,47683.0,-58882.0,0.9,85.7,1.2,1.8,41.1,15.8,8.3,1.9,6.0,10.7,126.6,59.1,990.0,59.2,10948.0,61.0,0.06,Brazil,6.9
Brunei Darussalam,South-easternAsia,5765.0,429.0,81.3,106.0,12930.0,-0.6,30552.7,1.1,60.2,38.7,0.6,19.4,80.1,2.1,157.0,157.0,4875.0,2679.0,2197.0,2071.0,1.4,77.2,1.8,1.9,20.5,6.5,2.6,1.5,4.4,9.1,108.1,71.2,193.0,72.1,679.0,357.0,,Brunei Darussalam,2.7
Bulgaria,EasternEurope,111002.0,7085.0,65.3,94.6,48953.0,3.0,6846.8,5.1,27.6,67.2,6.5,29.4,64.1,8.1,117.0,119.0,26088.0,28875.0,-2787.0,196.0,-0.6,73.9,-0.3,1.5,33.7,8.3,8.4,4.0,4.1,19.2,129.3,56.7,104.0,35.1,474.0,103.0,,Bulgaria,9.7
Burkina Faso,WesternAfrica,272967.0,19193.0,70.2,99.5,11065.0,4.1,611.1,34.5,21.8,43.7,80.0,4.9,15.1,2.9,131.0,134.0,2019.0,3699.0,-1680.0,-998.0,3.0,29.9,5.9,5.6,32.7,64.8,5.0,0.0,4.1,11.0,80.6,11.4,31.0,19.8,123.0,9.0,9.11,Burkina Faso,7.5
Burundi,EasternAfrica,27830.0,10864.0,423.1,96.9,2735.0,-4.1,244.6,36.3,13.9,49.8,91.1,2.6,6.3,1.7,109.0,122.0,123.0,625.0,-502.0,-375.0,3.0,12.1,5.7,6.0,103.2,77.8,7.5,,5.4,36.4,46.2,4.9,61.0,10.6,56.0,6.0,11.91,Burundi,6.2
Cabo Verde,WesternAfrica,4033.0,546.0,135.6,99.3,1603.0,1.5,3080.2,9.5,19.8,70.7,27.2,11.5,61.3,10.5,98.0,98.0,29.0,485.0,-455.0,-73.0,1.2,65.5,2.0,2.5,0.1,22.5,4.8,0.3,5.0,23.6,127.2,43.0,65.0,22.1,2.0,17.0,9.81,Cabo Verde,12.9
Cambodia,South-easternAsia,181035.0,16005.0,90.7,95.3,18050.0,7.0,1158.7,28.2,29.4,42.3,42.4,19.6,38.0,0.3,175.0,177.0,13204.0,15313.0,-2109.0,-1657.0,1.6,20.7,2.6,2.7,0.3,29.9,5.7,0.2,1.9,20.3,133.0,19.0,255.0,54.3,178.0,17.0,3.97,Cambodia,4.9
Cameroon,MiddleAfrica,475650.0,24054.0,50.9,100.2,28416.0,5.8,1217.3,22.7,28.3,49.1,61.8,8.7,29.5,4.6,155.0,160.0,2130.0,4899.0,-2768.0,-1173.0,2.7,54.4,3.6,5.0,544.9,67.5,4.1,,3.0,31.1,71.8,20.7,775.0,40.3,408.0,14.0,2.31,Cameroon,9.0
Canada,NorthernAmerica,9984670.0,36624.0,4.0,98.5,1552808.0,0.9,43205.6,1.8,28.6,69.6,2.1,19.5,78.4,7.1,109.0,109.0,388911.0,402954.0,-14043.0,-53083.0,1.0,81.8,1.2,1.6,155.8,4.7,10.4,2.5,5.3,26.3,81.9,88.5,122.0,38.2,19276.0,324.0,,Canada,11.8
Central African Republic,MiddleAfrica,622984.0,4659.0,7.5,97.3,1633.0,4.8,333.2,34.9,24.8,40.4,72.2,4.3,23.4,6.9,114.0,113.0,213.0,147.0,66.0,,0.4,40.0,2.6,5.1,470.5,93.5,4.2,,1.2,8.6,20.4,4.6,60.0,35.6,19.0,5.0,32.25,Central African Republic,12.3
Chad,MiddleAfrica,1284000.0,14900.0,11.8,100.2,10009.0,6.6,713.0,25.4,39.0,35.6,76.6,2.0,21.4,5.8,146.0,151.0,1990.0,1371.0,619.0,,3.3,22.5,3.4,6.3,512.3,91.2,3.6,0.0,2.8,12.8,40.2,2.7,43.0,4.0,288.0,6.0,5.74,Chad,6.4
Chile,SouthAmerica,756102.0,18055.0,24.3,98.2,240796.0,2.3,13416.2,3.9,32.8,63.3,9.6,22.9,67.5,6.8,111.0,111.0,59884.0,58804.0,1080.0,-4761.0,0.9,89.5,1.1,1.8,3.7,7.4,7.8,,4.9,15.8,129.5,64.3,197.0,23.4,540.0,85.0,0.02,Chile,9.0
China,EasternAsia,9600000.0,1409517.0,150.1,106.3,11158457.0,6.9,8109.1,9.2,41.1,49.7,27.0,23.9,49.1,4.6,132.0,133.0,2118981.0,1588696.0,530285.0,330602.0,0.5,55.6,3.0,1.6,301.7,11.6,5.5,1.5,,23.7,93.2,50.3,1080.0,22.0,101394.0,87.0,0.0,China,8.1
Colombia,SouthAmerica,1141748.0,49066.0,44.2,96.8,292080.0,3.1,6056.1,6.8,34.0,59.2,13.5,16.6,69.9,10.5,114.0,115.0,31045.0,44831.0,-13786.0,-18922.0,1.0,76.4,1.7,1.9,7127.0,17.9,7.2,,4.5,18.7,115.7,55.9,835.0,52.8,5380.0,31.0,0.47,Colombia,3.9
Comoros,EasternAfrica,2235.0,814.0,437.4,101.8,1079.0,4.8,1368.9,30.7,4.0,65.3,62.0,5.2,32.8,20.0,107.0,107.0,20.0,193.0,-173.0,,2.4,28.3,2.7,4.6,,58.1,6.7,,4.3,6.1,54.8,7.5,114.0,20.1,3.0,6.0,12.05,Comoros,5.4
Congo,MiddleAfrica,342000.0,5261.0,15.4,100.1,8493.0,1.2,1838.1,4.7,70.0,25.3,40.7,25.8,33.5,11.5,106.0,106.0,2540.0,9793.0,-7253.0,,2.6,65.4,3.2,4.9,54.9,46.5,5.2,,,7.4,111.7,7.6,134.0,65.4,648.0,24.0,1.05,Congo,6.5
Costa Rica,CentralAmerica,51100.0,4906.0,96.1,100.1,52958.0,3.7,11015.0,5.1,21.5,73.4,11.6,19.1,69.3,8.6,127.0,129.0,9908.0,15322.0,-5414.0,-2493.0,1.1,76.8,2.7,1.9,10.1,9.3,9.3,1.2,7.2,35.1,150.7,59.8,340.0,53.4,110.0,44.0,0.22,Costa Rica,8.1
Croatia,SouthernEurope,56594.0,4189.0,74.9,93.1,48676.0,1.6,11479.4,4.1,26.6,69.3,9.2,26.8,64.0,11.7,91.0,91.0,13648.0,21830.0,-8182.0,2492.0,-0.4,59.0,0.1,1.5,15.5,3.9,7.8,3.1,4.6,19.9,103.8,69.8,176.0,34.3,182.0,79.0,,Croatia,16.4
Cuba,Caribbean,109884.0,11485.0,107.9,100.1,87206.0,4.4,7656.6,5.0,20.5,74.5,12.9,11.7,75.3,3.0,100.0,101.0,18000.0,4911.0,13089.0,,0.2,77.1,0.1,1.7,0.4,5.5,11.1,7.5,,48.9,29.6,31.1,339.0,30.2,212.0,47.0,,Cuba,14.5
Cyprus,WesternAsia,9251.0,1180.0,127.7,100.2,19561.0,1.7,21941.9,2.3,10.6,87.2,4.1,16.7,79.2,10.3,80.0,80.0,1920.0,6604.0,-4684.0,-576.0,0.9,66.9,0.9,1.4,16.2,4.2,7.4,2.5,6.1,17.9,95.4,71.7,72.0,18.7,5.0,72.0,,Cyprus,3.6
Czechia,EasternEurope,78868.0,10618.0,137.5,96.7,185156.0,4.5,17561.7,2.5,37.8,59.7,2.5,37.0,60.5,3.9,102.0,102.0,161248.0,140316.0,20932.0,1683.0,0.1,73.0,0.3,1.5,6.0,2.5,7.4,3.7,4.1,20.0,129.2,81.3,53.0,34.5,1221.0,164.0,,Czechia,12.2
Democratic People's Republic of Korea,EasternAsia,120538.0,25491.0,211.7,95.7,16283.0,-1.1,648.0,21.6,46.2,32.2,58.9,19.3,21.8,4.3,104.0,103.0,1010.0,2757.0,-1748.0,,0.5,60.9,0.7,2.0,,18.5,,2.8,,16.3,12.9,0.0,78.0,42.8,871.0,20.0,,Democratic People's Republic of Korea,9.4
Democratic Republic of the Congo,MiddleAfrica,2344858.0,81340.0,35.9,99.6,37569.0,7.0,486.2,19.9,44.2,35.9,65.3,5.9,28.9,3.6,104.0,104.0,5103.0,5906.0,-803.0,-1546.0,3.3,42.5,4.0,6.4,2163.3,73.2,4.3,,2.2,8.9,53.0,3.8,349.0,67.4,1179.0,16.0,8.01,Democratic Republic of the Congo,6.7
Denmark,NorthernEurope,42921.0,5734.0,135.1,99.0,301308.0,1.6,53149.3,1.2,22.9,75.8,2.4,19.2,78.4,6.0,105.0,105.0,94355.0,85133.0,9222.0,27582.0,0.5,87.7,0.6,1.7,48.2,3.5,10.8,3.6,8.6,37.4,128.3,96.3,47.0,14.4,666.0,119.0,,Denmark,10.7
Djibouti,EasternAfrica,23200.0,957.0,41.3,100.7,1737.0,6.5,1956.3,3.3,21.4,75.3,22.8,23.9,53.2,6.6,133.0,133.0,134.0,987.0,-852.0,-548.0,1.7,77.3,1.6,3.1,19.9,55.3,10.6,0.2,,10.8,34.7,11.9,98.0,0.2,3.0,13.0,,Djibouti,9.6
Dominican Republic,Caribbean,48671.0,10767.0,222.8,99.2,67103.0,7.0,6373.6,6.6,28.0,65.4,13.1,16.9,70.0,14.4,136.0,138.0,3747.0,22725.0,-18978.0,-1335.0,1.2,79.0,2.6,2.5,1.3,25.1,4.4,1.5,,26.8,82.6,51.9,184.0,40.4,28.0,28.0,0.43,Dominican Republic,4.9
Ecuador,SouthAmerica,257217.0,16625.0,66.9,99.9,100177.0,0.2,6205.1,10.1,34.1,55.8,25.7,19.2,55.1,5.8,118.0,119.0,16798.0,16189.0,609.0,-2201.0,1.6,63.7,1.9,2.6,133.1,21.1,9.2,1.7,5.0,41.6,79.4,48.9,2358.0,50.8,1247.0,42.0,0.31,Ecuador,7.6
Egypt,NorthernAfrica,1002000.0,97553.0,98.0,102.3,315917.0,4.2,3452.3,11.2,36.3,52.5,25.4,25.3,49.3,11.5,120.0,122.0,22507.0,58053.0,-35545.0,-16786.0,2.2,43.1,1.7,3.4,256.5,18.9,5.6,0.8,,14.9,111.0,35.9,156.0,0.1,3509.0,36.0,0.78,Egypt,3.0
El Salvador,CentralAmerica,21041.0,6378.0,307.8,88.5,25850.0,2.5,4219.4,10.8,25.8,63.3,18.6,20.2,61.2,6.4,111.0,117.0,5335.0,9855.0,-4519.0,-920.0,0.5,66.7,1.4,2.2,4.7,17.0,6.8,,3.5,32.1,145.3,26.9,86.0,13.0,86.0,28.0,0.36,El Salvador,6.1
Equatorial Guinea,MiddleAfrica,28052.0,1268.0,45.2,124.0,13812.0,-7.4,16344.1,1.2,73.1,25.7,18.8,18.0,63.2,7.7,117.0,118.0,7443.0,5456.0,1987.0,,4.2,39.9,3.1,5.0,,70.0,3.8,,,24.0,66.7,21.3,177.0,56.3,841.0,87.0,0.15,Equatorial Guinea,7.9
Eritrea,EasternAfrica,117600.0,5069.0,50.2,100.4,4783.0,4.8,914.9,17.2,23.5,59.3,57.0,7.6,35.4,7.3,109.0,109.0,16.0,3325.0,-3310.0,,2.0,22.6,5.1,4.4,2.3,45.0,3.3,,,22.0,7.0,1.1,122.0,15.0,27.0,7.0,,Eritrea,10.9
Estonia,NorthernEurope,45227.0,1310.0,30.9,88.2,22460.0,1.4,17112.0,3.4,27.4,69.2,3.8,29.0,67.3,7.2,136.0,136.0,13952.0,15759.0,-1807.0,493.0,-0.3,67.5,-0.4,1.6,84.2,3.2,6.4,3.3,5.5,26.7,148.7,88.4,23.0,52.7,242.0,193.0,,Estonia,14.9
Ethiopia,EasternAfrica,1104300.0,104957.0,105.0,99.7,59917.0,9.6,602.8,40.5,16.0,43.5,70.5,8.4,21.1,5.7,158.0,157.0,1724.0,19121.0,-17397.0,,2.6,19.5,4.9,4.6,745.7,45.8,4.9,,4.5,38.8,42.8,11.6,148.0,12.5,1308.0,15.0,5.28,Ethiopia,5.4
Fiji,Melanesia,18272.0,906.0,49.6,103.1,4391.0,3.6,4921.9,11.3,18.1,70.7,21.3,2.9,75.8,7.7,88.0,88.0,926.0,2316.0,-1391.0,-72.0,0.7,53.7,1.5,2.6,0.0,16.0,4.5,,3.9,16.0,108.2,46.3,291.0,55.4,8.0,26.0,2.46,Fiji,9.0
Finland,NorthernEurope,338440.0,5523.0,18.2,97.2,231960.0,0.2,42148.1,2.5,26.8,70.6,4.2,22.0,73.8,8.9,101.0,101.0,57326.0,60502.0,-3176.0,-979.0,0.4,84.2,0.5,1.8,32.6,2.3,9.7,3.0,7.2,42.0,135.5,92.7,36.0,73.1,757.0,257.0,,Finland,15.3
France,WesternEurope,551500.0,64980.0,118.7,96.7,2418946.0,1.3,36304.2,1.7,19.5,78.8,2.7,20.5,76.8,9.8,103.0,103.0,488885.0,560555.0,-71670.0,-4861.0,0.4,79.5,0.8,2.0,356.2,3.4,11.5,3.2,5.5,25.8,102.6,84.7,278.0,30.8,5694.0,158.0,,France,13.8
Gabon,MiddleAfrica,267668.0,2025.0,7.9,105.6,13735.0,3.9,7960.7,3.8,54.5,41.7,16.2,19.1,64.8,18.1,97.0,92.0,2851.0,2930.0,-79.0,,3.3,87.2,2.7,4.0,2.9,40.8,3.4,,2.7,17.1,168.9,23.5,270.0,88.5,559.0,64.0,0.73,Gabon,8.4
Gambia,WesternAfrica,11295.0,2101.0,207.6,98.0,942.0,4.7,473.2,21.1,14.9,64.0,30.4,14.4,55.2,29.7,82.0,82.0,32.0,471.0,-439.0,,3.1,59.6,4.3,5.6,7.9,49.8,7.3,,2.8,9.4,131.3,17.1,67.0,48.1,7.0,7.0,12.35,Gambia,4.8
Georgia,WesternAsia,69700.0,3912.0,56.3,91.4,13965.0,2.8,3491.4,9.0,24.1,66.9,44.7,11.2,44.1,11.4,85.0,86.0,2114.0,7236.0,-5122.0,-1775.0,-1.4,53.6,-0.1,2.0,274.1,11.2,7.4,4.8,2.0,16.0,129.0,45.2,120.0,40.6,61.0,47.0,3.3,Georgia,9.2
Germany,WesternEurope,357376.0,82114.0,235.6,97.0,3363600.0,1.7,41686.2,0.6,30.5,68.9,1.4,27.5,71.2,4.2,111.0,111.0,1340752.0,1060672.0,280080.0,279969.0,0.2,75.3,0.2,1.4,1052.1,3.4,11.3,4.1,5.0,37.0,116.7,87.6,116.0,32.7,5004.0,158.0,,Germany,12.3
Ghana,WesternAfrica,238537.0,28834.0,126.7,99.3,37156.0,3.9,1355.6,19.0,26.9,54.1,41.9,14.2,43.8,5.9,144.0,144.0,7221.0,11939.0,-4718.0,-2809.0,2.4,54.0,3.4,4.2,27.3,46.5,3.6,,6.2,12.7,129.7,23.5,238.0,40.9,410.0,14.0,4.81,Ghana,6.6
Greece,SouthernEurope,131957.0,11160.0,86.6,96.9,194860.0,-0.2,17788.0,4.1,15.7,80.2,12.9,15.0,72.1,23.0,86.0,87.0,27811.0,47595.0,-19784.0,218.0,-0.4,78.0,0.5,1.3,94.7,3.3,8.1,6.3,,18.3,114.0,66.8,374.0,31.2,368.0,89.0,,Greece,5.1
Grenada,Caribbean,345.0,108.0,317.1,100.9,954.0,6.2,8933.8,8.3,13.9,77.8,,,,,103.0,103.0,30.0,350.0,-320.0,-213.0,0.4,35.6,0.3,2.2,0.0,9.6,6.1,,,33.3,112.2,53.8,54.0,50.0,0.0,35.0,2.55,Grenada,0.7
Guatemala,CentralAmerica,108889.0,16914.0,157.8,96.9,63794.0,4.1,3903.5,10.8,27.2,62.0,32.0,18.5,49.4,2.4,158.0,158.0,10572.0,16987.0,-6415.0,-96.0,2.1,51.6,3.4,3.2,1.8,26.9,6.2,,3.0,12.7,111.5,27.1,290.0,33.4,327.0,32.0,0.66,Guatemala,5.9
Guinea-Bissau,WesternAfrica,36125.0,1861.0,66.2,96.9,978.0,4.8,530.0,45.0,14.5,40.5,60.1,5.8,34.1,6.5,137.0,138.0,885.0,212.0,673.0,-53.0,2.6,49.3,4.1,4.9,8.8,80.4,5.6,,2.2,13.7,69.3,3.5,77.0,70.5,25.0,17.0,9.03,Guinea,7.0
Guinea,WesternAfrica,245857.0,12717.0,51.8,100.6,8875.0,0.1,703.9,19.8,32.8,47.4,69.7,7.4,22.9,6.8,130.0,131.0,1753.0,2082.0,-329.0,-1240.0,2.3,37.2,3.8,5.1,9.2,65.7,5.6,,3.2,21.9,87.2,4.7,185.0,26.0,113.0,12.0,8.65,Guinea-Bissau,7.0
Guyana,SouthAmerica,214969.0,778.0,4.0,101.9,3282.0,3.1,4278.8,17.6,31.7,50.6,18.4,25.4,56.2,11.3,142.0,143.0,1453.0,1625.0,-172.0,-144.0,0.6,28.6,0.8,2.6,0.0,33.2,5.2,,3.2,31.9,67.2,38.2,94.0,84.0,7.0,46.0,0.97,Guyana,40.3
Haiti,Caribbean,27750.0,10981.0,398.4,97.8,8501.0,1.7,793.7,16.7,38.2,45.1,46.9,12.6,40.6,12.9,163.0,166.0,984.0,3316.0,-2332.0,-723.0,1.4,58.6,3.8,3.1,1.9,46.9,7.6,,,2.6,69.9,12.2,205.0,3.5,136.0,16.0,11.73,Haiti,9.6
Honduras,CentralAmerica,112492.0,9265.0,82.8,99.4,20365.0,3.6,2521.9,13.0,25.1,61.9,29.4,21.6,49.0,5.6,122.0,119.0,3657.0,8448.0,-4791.0,-1291.0,1.8,54.7,3.1,2.6,176.2,27.8,8.7,,5.9,25.8,95.5,20.4,301.0,42.1,105.0,28.0,2.86,Honduras,2.1
Hungary,EasternEurope,93024.0,9722.0,107.4,90.7,121715.0,3.1,12350.6,4.1,31.9,64.0,4.3,29.8,65.9,4.5,99.0,99.0,103071.0,92044.0,11027.0,3946.0,-0.3,71.2,0.5,1.3,14.4,4.9,7.4,3.3,4.7,10.1,118.9,72.8,66.0,22.8,423.0,97.0,,Hungary,16.6
Iceland,NorthernEurope,103000.0,335.0,3.3,100.7,16780.0,4.2,50936.0,6.4,24.0,69.7,4.0,17.7,78.2,3.6,117.0,117.0,4450.0,5703.0,-1254.0,854.0,0.6,94.1,1.3,2.0,0.5,1.6,8.9,3.8,7.8,47.6,114.0,98.2,27.0,0.5,284.0,952.0,,Iceland,11.9
India,SouthernAsia,3287263.0,1339180.0,450.4,107.6,2116239.0,7.6,1614.2,17.0,29.7,53.2,44.3,24.5,31.2,3.4,143.0,142.0,260327.0,356705.0,-96378.0,-22457.0,1.2,32.7,2.4,2.4,211.1,41.3,4.7,0.7,3.8,11.8,78.8,26.0,1052.0,23.7,23103.0,27.0,0.16,India,12.7
Indonesia,South-easternAsia,1910931.0,263991.0,145.7,101.4,861934.0,4.8,3346.5,14.0,41.3,44.7,31.4,22.4,46.2,5.8,139.0,140.0,144490.0,135653.0,8837.0,-17697.0,1.2,53.7,2.7,2.4,13.8,25.0,2.8,0.2,3.6,19.8,132.4,22.0,1281.0,50.6,19481.0,35.0,0.0,Indonesia,2.4
Iran (Islamic Republic of),SouthernAsia,1628750.0,81163.0,49.8,101.2,398563.0,0.4,5038.1,8.6,39.1,52.3,16.6,32.5,50.9,11.3,106.0,107.0,45627.0,35333.0,10294.0,,1.2,73.4,2.1,1.7,978.3,14.8,7.5,1.5,2.9,5.9,93.4,44.1,134.0,6.6,13291.0,127.0,0.02,Iran (Islamic Republic of),5.2
Iraq,WesternAsia,435052.0,38275.0,88.1,102.5,164234.0,-2.4,4509.0,4.6,58.0,37.4,20.4,21.0,58.6,16.1,123.0,123.0,27341.0,45831.0,-18490.0,4121.0,3.2,69.5,3.0,4.6,4736.2,32.1,5.5,0.9,,25.3,93.8,17.2,72.0,1.9,6744.0,58.0,0.88,Iraq,3.6
Ireland,NorthernEurope,69797.0,4762.0,69.1,98.4,283716.0,26.3,60513.6,1.0,41.7,57.3,4.8,17.7,77.4,7.6,102.0,102.0,129315.0,76997.0,52318.0,28967.0,0.3,63.2,1.6,2.0,10.5,3.4,7.8,2.8,5.3,22.2,103.7,80.1,50.0,10.9,84.0,114.0,,Ireland,9.6
Israel,WesternAsia,22072.0,8322.0,384.5,98.7,299413.0,2.5,37129.4,1.3,21.2,77.5,1.0,17.9,81.0,5.9,112.0,112.0,60571.0,65803.0,-5232.0,13642.0,1.6,92.1,1.4,3.0,44.7,3.4,7.8,3.6,5.8,27.5,133.5,78.9,174.0,7.5,313.0,119.0,,Israel,5.3
Italy,SouthernEurope,302073.0,59360.0,201.8,95.1,1821580.0,0.7,30462.4,2.2,23.5,74.2,3.5,27.1,69.4,11.4,89.0,89.0,461529.0,404578.0,56951.0,29348.0,-0.1,69.0,0.4,1.4,216.7,3.0,9.2,3.9,4.1,31.0,151.3,65.6,359.0,31.4,1539.0,103.0,,Italy,6.7
Jamaica,Caribbean,10990.0,2890.0,266.9,99.0,14262.0,1.0,5105.8,7.1,22.3,70.5,17.9,15.3,66.8,13.1,102.0,102.0,1202.0,4767.0,-3565.0,-400.0,0.4,54.8,0.9,2.1,0.0,15.0,5.4,,5.5,17.5,111.5,43.2,311.0,31.0,8.0,37.0,0.42,Jamaica,2.4
Japan,EasternAsia,377930.0,127484.0,349.7,95.4,4383076.0,1.2,34628.7,1.2,26.4,72.4,3.7,26.5,69.8,3.0,96.0,97.0,644932.0,606924.0,38008.0,135608.0,-0.1,93.5,0.6,1.4,19.4,2.2,10.2,2.3,3.6,9.3,125.0,93.3,404.0,68.5,1114.0,146.0,,Japan,15.3
Jordan,WesternAsia,89318.0,9702.0,109.3,102.6,37517.0,2.4,4940.1,4.0,27.7,68.4,2.0,17.8,80.2,13.4,134.0,135.0,7509.0,19207.0,-11698.0,-3332.0,4.9,83.7,3.8,3.6,721.4,17.1,7.5,2.6,,15.4,179.4,53.4,113.0,1.1,7.0,47.0,5.8,Jordan,1.6
Kazakhstan,CentralAsia,2724902.0,18204.0,6.7,93.9,181754.0,1.2,10312.1,5.0,32.5,62.5,18.1,20.4,61.6,5.6,126.0,127.0,36775.0,25175.0,11601.0,-5464.0,1.6,53.2,0.9,2.7,9.2,14.1,4.4,3.3,2.8,27.1,187.2,72.9,82.0,1.2,7091.0,193.0,0.05,Kazakhstan,17.6
Kenya,EasternAfrica,591958.0,49700.0,87.3,98.8,63399.0,5.6,1376.7,32.0,19.0,49.0,61.9,8.6,29.5,10.8,126.0,126.0,5688.0,14109.0,-8420.0,-6339.0,2.7,25.6,4.3,4.1,582.4,39.4,5.7,0.2,5.3,19.4,80.7,45.6,480.0,7.7,750.0,20.0,3.93,Kenya,6.1
Kiribati,Micronesia,726.0,116.0,143.7,97.3,162.0,3.7,1442.9,24.1,13.6,62.2,,,,,61.0,61.0,3.0,116.0,-113.0,45.0,1.8,44.3,1.8,3.8,,46.9,10.2,0.2,,6.5,38.8,13.0,104.0,15.0,0.0,8.0,20.05,Kiribati,28.3
Kuwait,WesternAsia,17818.0,4136.0,232.1,134.9,114054.0,1.8,29303.9,0.6,48.7,50.7,2.6,27.3,70.1,2.2,199.0,199.0,46238.0,30825.0,15413.0,8584.0,5.4,98.3,3.6,2.0,94.7,8.4,3.0,1.9,,3.1,231.8,82.1,49.0,0.4,6941.0,380.0,,Kuwait,2.9
Kyrgyzstan,CentralAsia,199949.0,6045.0,31.5,98.4,6572.0,3.5,1106.4,15.4,25.9,58.7,29.2,21.0,49.8,7.7,108.0,110.0,1423.0,3844.0,-2421.0,-721.0,1.6,35.7,1.6,3.1,8.2,19.6,6.5,1.9,5.5,19.2,132.8,30.2,44.0,3.4,80.0,27.0,12.16,Kyrgyzstan,7.4
Lao People's Democratic Republic,South-easternAsia,236800.0,6858.0,29.7,99.5,12585.0,7.6,1850.2,23.6,32.8,43.6,78.3,4.0,17.7,1.5,193.0,186.0,2066.0,4513.0,-2447.0,-2264.0,1.3,38.6,4.9,2.9,,47.3,1.9,0.2,3.3,27.5,53.1,18.2,209.0,80.5,72.0,12.0,4.03,Lao People's Democratic Republic,5.4
Latvia,NorthernEurope,64573.0,1950.0,31.3,84.9,27004.0,2.7,13704.1,3.2,23.3,73.5,7.3,23.0,69.7,9.6,130.0,130.0,11433.0,13596.0,-2163.0,-210.0,-1.2,67.4,-0.7,1.5,252.6,6.5,5.9,3.2,5.3,16.0,127.0,79.2,30.0,54.0,108.0,99.0,,Latvia,20.1
Lebanon,WesternAsia,10452.0,6082.0,594.6,100.6,50149.0,1.5,8571.4,3.2,19.6,77.2,8.2,22.4,69.4,7.0,95.0,95.0,3402.0,20409.0,-17007.0,-8146.0,6.0,87.8,3.2,1.7,1054.2,9.2,6.4,2.4,2.6,3.1,87.1,74.0,87.0,13.4,7.0,55.0,2.04,Lebanon,2.8
Lesotho,SouthernAfrica,30355.0,2233.0,73.6,94.4,2008.0,2.8,940.6,7.7,31.3,61.0,39.7,20.0,40.3,27.5,101.0,100.0,648.0,1727.0,-1079.0,-168.0,1.3,27.3,3.0,3.3,0.0,59.8,10.6,,,25.0,105.5,16.1,18.0,1.6,31.0,28.0,4.11,Lesotho,72.4
